leadId,state,county,sourceStatus,taxClaimParcelId,parcelId,ownerName,propertyAddress,mailingAddress,class,landUseCode,acres,style,resLivingArea,yearBuilt,utility,appraisedLand,appraisedBuilding,appraisedTotal,saleDate,salePrice,schoolDistrict,district,cleanGreen,taxClaimPdfPage,sourceUrls,confidence,route,notes,nextAction,candidatePhone,candidateEmail,contactSource,matchBasis,doNotContactStatus
PA-YORK-UPSET-VACANT-0026,PA,York,taxClaimPdf+countyArcGIS,67-000-08-0188.00-00000,6700008018800,REALTY STAR CAPITAL LLC,222 HIGH ST,"915 N PLUM ST, LANCASTER PA 17602-1937",C,300,0.161,,,,All Public,26330.0,,26330.0,30-DEC-2022,4235.0,010,67,,1119,https://yorkcountypa.gov/DocumentCenter/View/1911/Delinquent-Tax-Claim-Listing-PDF | https://arcweb1.ycpc.org/server/rest/services/OPEN_DATA/Parcels/MapServer/0,high,humanReview,Tax-claim + ArcGIS vacant/no-building candidate; not guaranteed upset-sale entry/payoff status; phone/email intentionally blank pending lawful provider/manual skip trace. Removed from human-first call lane due to entity/trust/estate/company owner name.,Entity/trust/estate owner: verify signer/registered agent or keep out of personal-call lane.,,,,parcel owner name + mailing address anchor,unknown
PA-YORK-UPSET-VACANT-0029,PA,York,taxClaimPdf+countyArcGIS,82-000-06-0056.00-00000,8200006005600,A L W MINISTRIES INC,249 N MAIN ST,"6830 CANNERY CT, SPRING GROVE PA 17362",R,100,0.158,,,,All Public,25940.0,,25940.0,11-SEP-2003,15000.0,016,82,,1183,https://yorkcountypa.gov/DocumentCenter/View/1911/Delinquent-Tax-Claim-Listing-PDF | https://arcweb1.ycpc.org/server/rest/services/OPEN_DATA/Parcels/MapServer/0,high,humanReview,Tax-claim + ArcGIS vacant/no-building candidate; not guaranteed upset-sale entry/payoff status; phone/email intentionally blank pending lawful provider/manual skip trace. Removed from human-first call lane due to entity/trust/estate/company owner name.,Entity/trust/estate owner: verify signer/registered agent or keep out of personal-call lane.,,,,parcel owner name + mailing address anchor,unknown
PA-YORK-UPSET-VACANT-0032,PA,York,taxClaimPdf+countyArcGIS,51-000-01-0026.00-00000,5100001002600,YORK FAIR ASSOC,WHITE ST,"334 CARLISLE AVE, YORK PA 17404-3204",C,300,0.303,,,,All Public,25740.0,,25740.0,,,026,51,,949,https://yorkcountypa.gov/DocumentCenter/View/1911/Delinquent-Tax-Claim-Listing-PDF | https://arcweb1.ycpc.org/server/rest/services/OPEN_DATA/Parcels/MapServer/0,high,humanReview,Tax-claim + ArcGIS vacant/no-building candidate; not guaranteed upset-sale entry/payoff status; phone/email intentionally blank pending lawful provider/manual skip trace. Removed from human-first call lane due to entity/trust/estate/company owner name.,Entity/trust/estate owner: verify signer/registered agent or keep out of personal-call lane.,,,,parcel owner name + mailing address anchor,unknown
PA-YORK-UPSET-VACANT-0041,PA,York,taxClaimPdf+countyArcGIS,43-000-02-0111.00-00000,4300002011100,NHSG LLC,61 W MIDVALE RD,"65 HOPEWELL RD, NEW PARK PA 17352-9380",R,100,0.597,,,,No Utilities,25080.0,,25080.0,16-JAN-2026,2500.0,018,43,,802,https://yorkcountypa.gov/DocumentCenter/View/1911/Delinquent-Tax-Claim-Listing-PDF | https://arcweb1.ycpc.org/server/rest/services/OPEN_DATA/Parcels/MapServer/0,high,humanReview,Tax-claim + ArcGIS vacant/no-building candidate; not guaranteed upset-sale entry/payoff status; phone/email intentionally blank pending lawful provider/manual skip trace. Removed from human-first call lane due to entity/trust/estate/company owner name.,Entity/trust/estate owner: verify signer/registered agent or keep out of personal-call lane.,,,,parcel owner name + mailing address anchor,unknown
PA-YORK-UPSET-VACANT-0049,PA,York,taxClaimPdf+countyArcGIS,34-000-02-0078.00-00000,3400002007800,GRID INVESTMENTS LLC,RIVERVIEW RD,"224 N GEORGE ST, YORK PA 17401-1108",R,100,0.493,,,,No Utilities,24810.0,,24810.0,28-JAN-2026,2547.0,016,34,,609,https://yorkcountypa.gov/DocumentCenter/View/1911/Delinquent-Tax-Claim-Listing-PDF | https://arcweb1.ycpc.org/server/rest/services/OPEN_DATA/Parcels/MapServer/0,high,humanReview,Tax-claim + ArcGIS vacant/no-building candidate; not guaranteed upset-sale entry/payoff status; phone/email intentionally blank pending lawful provider/manual skip trace. Removed from human-first call lane due to entity/trust/estate/company owner name.,Entity/trust/estate owner: verify signer/registered agent or keep out of personal-call lane.,,,,parcel owner name + mailing address anchor,unknown
PA-YORK-UPSET-VACANT-0050,PA,York,taxClaimPdf+countyArcGIS,08-167-02-0001.00-00000,0816702000100,450 MANOR HOLDINGS LLC,450 MANOR ST,"212 FRONT ST, YORK PA 17404-2710",C,300,0.177,,,,All Public,24770.0,,24770.0,25-APR-2016,1.0,028,08,,94,https://yorkcountypa.gov/DocumentCenter/View/1911/Delinquent-Tax-Claim-Listing-PDF | https://arcweb1.ycpc.org/server/rest/services/OPEN_DATA/Parcels/MapServer/0,high,humanReview,Tax-claim + ArcGIS vacant/no-building candidate; not guaranteed upset-sale entry/payoff status; phone/email intentionally blank pending lawful provider/manual skip trace. Removed from human-first call lane due to entity/trust/estate/company owner name.,Entity/trust/estate owner: verify signer/registered agent or keep out of personal-call lane.,,,,parcel owner name + mailing address anchor,unknown
PA-YORK-UPSET-VACANT-0057,PA,York,taxClaimPdf+countyArcGIS,39-000-01-0264.00-00000,3900001026400,CONSTELLATION ENERGY GEN LLC,CONEWAGO AVE,"PO BOX 5461, CHICAGO IL 60680-5461",R,100,0.087,,,,All Public,22920.0,,22920.0,,,012,39,,725,https://yorkcountypa.gov/DocumentCenter/View/1911/Delinquent-Tax-Claim-Listing-PDF | https://arcweb1.ycpc.org/server/rest/services/OPEN_DATA/Parcels/MapServer/0,high,humanReview,Tax-claim + ArcGIS vacant/no-building candidate; not guaranteed upset-sale entry/payoff status; phone/email intentionally blank pending lawful provider/manual skip trace. Removed from human-first call lane due to entity/trust/estate/company owner name.,Entity/trust/estate owner: verify signer/registered agent or keep out of personal-call lane.,,,,parcel owner name + mailing address anchor,unknown
PA-YORK-UPSET-VACANT-0060,PA,York,taxClaimPdf+countyArcGIS,82-000-05-0425.00-00000,8200005042500,COLON SERVICE CO & 360 PAINTING OF YORK INC ET AL,728 WALLICK LN,"728 W WLALICK LN, RED LION PA 17356",I,500,0.193,,,,All Public,21320.0,,21320.0,18-OCT-2022,290000.0,016,82,,1183,https://yorkcountypa.gov/DocumentCenter/View/1911/Delinquent-Tax-Claim-Listing-PDF | https://arcweb1.ycpc.org/server/rest/services/OPEN_DATA/Parcels/MapServer/0,high,humanReview,Tax-claim + ArcGIS vacant/no-building candidate; not guaranteed upset-sale entry/payoff status; phone/email intentionally blank pending lawful provider/manual skip trace. Removed from human-first call lane due to entity/trust/estate/company owner name.,Entity/trust/estate owner: verify signer/registered agent or keep out of personal-call lane.,,,,parcel owner name + mailing address anchor,unknown
PA-YORK-UPSET-VACANT-0063,PA,York,taxClaimPdf+countyArcGIS,51-000-17-0054.00-00000,5100017005400,SC SEPTIC SERVICES LLC,LOCUST ST,"1279 W LOCUST ST, YORK PA 17404",R,100,0.085,,,,No Utilities,19840.0,,19840.0,29-DEC-2022,75000.0,026,51,,962,https://yorkcountypa.gov/DocumentCenter/View/1911/Delinquent-Tax-Claim-Listing-PDF | https://arcweb1.ycpc.org/server/rest/services/OPEN_DATA/Parcels/MapServer/0,high,humanReview,Tax-claim + ArcGIS vacant/no-building candidate; not guaranteed upset-sale entry/payoff status; phone/email intentionally blank pending lawful provider/manual skip trace. Removed from human-first call lane due to entity/trust/estate/company owner name.,Entity/trust/estate owner: verify signer/registered agent or keep out of personal-call lane.,,,,parcel owner name + mailing address anchor,unknown
PA-YORK-UPSET-VACANT-0071,PA,York,taxClaimPdf+countyArcGIS,08-146-06-0015.00-00000,0814606001500,ANASCO ACQUISITIONS LLC,24 W JACKSON ST,"2016 DERRY RD, YORK PA 17408-4212",R,100,0.098,,,,All Public,14780.0,,14780.0,02-NOV-2022,20000.0,028,08,,80,https://yorkcountypa.gov/DocumentCenter/View/1911/Delinquent-Tax-Claim-Listing-PDF | https://arcweb1.ycpc.org/server/rest/services/OPEN_DATA/Parcels/MapServer/0,high,humanReview,Tax-claim + ArcGIS vacant/no-building candidate; not guaranteed upset-sale entry/payoff status; phone/email intentionally blank pending lawful provider/manual skip trace. Removed from human-first call lane due to entity/trust/estate/company owner name.,Entity/trust/estate owner: verify signer/registered agent or keep out of personal-call lane.,,,,parcel owner name + mailing address anchor,unknown
PA-YORK-UPSET-VACANT-0072,PA,York,taxClaimPdf+countyArcGIS,12-368-06-0021.00-00000,1236806002100,MK YORK PROPERTIES LLC,E PHILADELPHIA    REAR ST,"208 GREYSTONE RD, YORK PA 17402-3012",C,300,0.103,,,,All Public,14630.0,,14630.0,26-AUG-2021,85000.0,028,12,,211,https://yorkcountypa.gov/DocumentCenter/View/1911/Delinquent-Tax-Claim-Listing-PDF | https://arcweb1.ycpc.org/server/rest/services/OPEN_DATA/Parcels/MapServer/0,high,humanReview,Tax-claim + ArcGIS vacant/no-building candidate; not guaranteed upset-sale entry/payoff status; phone/email intentionally blank pending lawful provider/manual skip trace. Removed from human-first call lane due to entity/trust/estate/company owner name.,Entity/trust/estate owner: verify signer/registered agent or keep out of personal-call lane.,,,,parcel owner name + mailing address anchor,unknown
PA-YORK-UPSET-VACANT-0074,PA,York,taxClaimPdf+countyArcGIS,39-000-03-0020.00-00000,3900003002000,JL REAL ESTATE INVESTMENTS LLC,CLY RD,"PO BOX 238, SCHAEFFERSTOWN PA 17088-0238",R,100,0.893,,,,No Utilities,12830.0,,12830.0,09-OCT-2020,90000.0,012,39,,731,https://yorkcountypa.gov/DocumentCenter/View/1911/Delinquent-Tax-Claim-Listing-PDF | https://arcweb1.ycpc.org/server/rest/services/OPEN_DATA/Parcels/MapServer/0,high,humanReview,Tax-claim + ArcGIS vacant/no-building candidate; not guaranteed upset-sale entry/payoff status; phone/email intentionally blank pending lawful provider/manual skip trace. Removed from human-first call lane due to entity/trust/estate/company owner name.,Entity/trust/estate owner: verify signer/registered agent or keep out of personal-call lane.,,,,parcel owner name + mailing address anchor,unknown
PA-YORK-UPSET-VACANT-0075,PA,York,taxClaimPdf+countyArcGIS,82-000-05-0426.00-00000,8200005042600,COLON SERVICE CO & 360 PAINTING OF YORK INC ET AL,728 WALLICK LN,"728 W WALLICK LN, RED LION PA 17356",I,500,0.113,,,,All Public,12740.0,,12740.0,18-OCT-2022,290000.0,016,82,,1183,https://yorkcountypa.gov/DocumentCenter/View/1911/Delinquent-Tax-Claim-Listing-PDF | https://arcweb1.ycpc.org/server/rest/services/OPEN_DATA/Parcels/MapServer/0,high,humanReview,Tax-claim + ArcGIS vacant/no-building candidate; not guaranteed upset-sale entry/payoff status; phone/email intentionally blank pending lawful provider/manual skip trace. Removed from human-first call lane due to entity/trust/estate/company owner name.,Entity/trust/estate owner: verify signer/registered agent or keep out of personal-call lane.,,,,parcel owner name + mailing address anchor,unknown
PA-YORK-UPSET-VACANT-0080,PA,York,taxClaimPdf+countyArcGIS,12-415-17-0025.00-00000,1241517002500,UNITED CANAL LLC,951 ELM ST,"33 GREAT NECK RD   STE 2, GREAT NECK NY 11021-3335",I,500,0.331,,,,All Public,11250.0,,11250.0,14-JUN-2023,1.0,028,12,,245,https://yorkcountypa.gov/DocumentCenter/View/1911/Delinquent-Tax-Claim-Listing-PDF | https://arcweb1.ycpc.org/server/rest/services/OPEN_DATA/Parcels/MapServer/0,high,humanReview,Tax-claim + ArcGIS vacant/no-building candidate; not guaranteed upset-sale entry/payoff status; phone/email intentionally blank pending lawful provider/manual skip trace. Removed from human-first call lane due to entity/trust/estate/company owner name.,Entity/trust/estate owner: verify signer/registered agent or keep out of personal-call lane.,,,,parcel owner name + mailing address anchor,unknown
PA-YORK-UPSET-VACANT-0082,PA,York,taxClaimPdf+countyArcGIS,32-000-05-0112.00-00000,3200005011200,TRI CORNER BRIDGEVIEW LLC,18803 VALLEY RD,"3405 N 6TH ST, HARRISBURG PA 17110",U,700,0.104,,,,No Utilities,7560.0,,7560.0,,,018,32,,569,https://yorkcountypa.gov/DocumentCenter/View/1911/Delinquent-Tax-Claim-Listing-PDF | https://arcweb1.ycpc.org/server/rest/services/OPEN_DATA/Parcels/MapServer/0,high,humanReview,Tax-claim + ArcGIS vacant/no-building candidate; not guaranteed upset-sale entry/payoff status; phone/email intentionally blank pending lawful provider/manual skip trace. Removed from human-first call lane due to entity/trust/estate/company owner name.,Entity/trust/estate owner: verify signer/registered agent or keep out of personal-call lane.,,,,parcel owner name + mailing address anchor,unknown
PA-YORK-UPSET-VACANT-0083,PA,York,taxClaimPdf+countyArcGIS,13-448-03-0014.00-00000,1344803001400,DISTRESSED INDUSTRIES INC,534 N PERSHING AVE,"515 CHESTNUT ST, COLUMBIA PA 17512-1231",R,100,0.085,,,,All Public,7340.0,,7340.0,08-APR-2026,45000.0,028,13,,268,https://yorkcountypa.gov/DocumentCenter/View/1911/Delinquent-Tax-Claim-Listing-PDF | https://arcweb1.ycpc.org/server/rest/services/OPEN_DATA/Parcels/MapServer/0,high,humanReview,Tax-claim + ArcGIS vacant/no-building candidate; not guaranteed upset-sale entry/payoff status; phone/email intentionally blank pending lawful provider/manual skip trace. Removed from human-first call lane due to entity/trust/estate/company owner name.,Entity/trust/estate owner: verify signer/registered agent or keep out of personal-call lane.,,,,parcel owner name + mailing address anchor,unknown
PA-YORK-UPSET-VACANT-0085,PA,York,taxClaimPdf+countyArcGIS,43-000-02-0255.00-00000,4300002025500,LEVENTRY REAL ESTATE LLC,HIGHVIEW DR,"2235 BLOSSOM VALLEY RD, LANCASTER PA 17601-3901",R,100,0.491,,,,No Utilities,6200.0,,6200.0,10-MAR-2026,8500.0,018,43,,803,https://yorkcountypa.gov/DocumentCenter/View/1911/Delinquent-Tax-Claim-Listing-PDF | https://arcweb1.ycpc.org/server/rest/services/OPEN_DATA/Parcels/MapServer/0,high,humanReview,Tax-claim + ArcGIS vacant/no-building candidate; not guaranteed upset-sale entry/payoff status; phone/email intentionally blank pending lawful provider/manual skip trace. Removed from human-first call lane due to entity/trust/estate/company owner name.,Entity/trust/estate owner: verify signer/registered agent or keep out of personal-call lane.,,,,parcel owner name + mailing address anchor,unknown
PA-YORK-UPSET-VACANT-0088,PA,York,taxClaimPdf+countyArcGIS,12-378-08-0013.00-00000,1237808001300,ANDERSON RIDGE LLC,26 RIDGE AVE,"52 RIDGE AVE, YORK PA 17403-1628",I,550,0.096,,,,All Public,5460.0,,5460.0,21-FEB-2023,500000.0,028,12,,224,https://yorkcountypa.gov/DocumentCenter/View/1911/Delinquent-Tax-Claim-Listing-PDF | https://arcweb1.ycpc.org/server/rest/services/OPEN_DATA/Parcels/MapServer/0,high,humanReview,Tax-claim + ArcGIS vacant/no-building candidate; not guaranteed upset-sale entry/payoff status; phone/email intentionally blank pending lawful provider/manual skip trace. Removed from human-first call lane due to entity/trust/estate/company owner name.,Entity/trust/estate owner: verify signer/registered agent or keep out of personal-call lane.,,,,parcel owner name + mailing address anchor,unknown
PA-YORK-UPSET-VACANT-0090,PA,York,taxClaimPdf+countyArcGIS,12-365-05-0013.00-00000,1236505001300,RECOIL INC C/O S&S STMNT SRV-TAX D. FL 3,280 N EAST ST,"100 PARK AVE, FLORHAM PARK NJ 07932",I,500,0.123,,,,All Public,5240.0,,5240.0,28-JAN-1997,153400.0,028,12,,209,https://yorkcountypa.gov/DocumentCenter/View/1911/Delinquent-Tax-Claim-Listing-PDF | https://arcweb1.ycpc.org/server/rest/services/OPEN_DATA/Parcels/MapServer/0,high,humanReview,Tax-claim + ArcGIS vacant/no-building candidate; not guaranteed upset-sale entry/payoff status; phone/email intentionally blank pending lawful provider/manual skip trace. Removed from human-first call lane due to entity/trust/estate/company owner name.,Entity/trust/estate owner: verify signer/registered agent or keep out of personal-call lane.,,,,parcel owner name + mailing address anchor,unknown
PA-YORK-UPSET-VACANT-0093,PA,York,taxClaimPdf+countyArcGIS,48-000-34-0089.00-00000,4800034008900,BROOKSIDE THISTLE PROPERTIES LLC,INDIAN ROCK DAM RD,"290 SEAKS RUN RD, GLEN ROCK PA 17327-9594",C,300,0.42,,,,All Public,4760.0,,4760.0,10-MAR-2016,1651600.0,030,48,,925,https://yorkcountypa.gov/DocumentCenter/View/1911/Delinquent-Tax-Claim-Listing-PDF | https://arcweb1.ycpc.org/server/rest/services/OPEN_DATA/Parcels/MapServer/0,high,humanReview,Tax-claim + ArcGIS vacant/no-building candidate; not guaranteed upset-sale entry/payoff status; phone/email intentionally blank pending lawful provider/manual skip trace. Removed from human-first call lane due to entity/trust/estate/company owner name.,Entity/trust/estate owner: verify signer/registered agent or keep out of personal-call lane.,,,,parcel owner name + mailing address anchor,unknown
PA-YORK-UPSET-VACANT-0098,PA,York,taxClaimPdf+countyArcGIS,43-000-02-0014.00-00000,4300002001400,PAUL BOLLER REVOCABLE TRUST & BOLLER PAUL REVOCABLE TRUST,HILLVIEW RD,"313 BRENHAM PASS, HYE TX 78635",R,100,0.634,,,,No Utilities,3520.0,,3520.0,27-JUN-2023,1.0,018,43,,801,https://yorkcountypa.gov/DocumentCenter/View/1911/Delinquent-Tax-Claim-Listing-PDF | https://arcweb1.ycpc.org/server/rest/services/OPEN_DATA/Parcels/MapServer/0,high,humanReview,Tax-claim + ArcGIS vacant/no-building candidate; not guaranteed upset-sale entry/payoff status; phone/email intentionally blank pending lawful provider/manual skip trace. Removed from human-first call lane due to entity/trust/estate/company owner name.,Entity/trust/estate owner: verify signer/registered agent or keep out of personal-call lane.,,,,parcel owner name + mailing address anchor,unknown
PA-YORK-UPSET-VACANT-0105,PA,York,taxClaimPdf+countyArcGIS,20-000-02-0018.00-00000,2000002001800,ECIPROPERTIES LP,113 LOCUST WAY,"124 W CHURCH ST, DILLSBURG PA 17019-1232",R,100,0.352,,,,No Utilities,2760.0,,2760.0,16-JUN-2025,65000.0,014,20,,316,https://yorkcountypa.gov/DocumentCenter/View/1911/Delinquent-Tax-Claim-Listing-PDF | https://arcweb1.ycpc.org/server/rest/services/OPEN_DATA/Parcels/MapServer/0,high,humanReview,Tax-claim + ArcGIS vacant/no-building candidate; not guaranteed upset-sale entry/payoff status; phone/email intentionally blank pending lawful provider/manual skip trace. Removed from human-first call lane due to entity/trust/estate/company owner name.,Entity/trust/estate owner: verify signer/registered agent or keep out of personal-call lane.,,,,parcel owner name + mailing address anchor,unknown
